gid,share_bin
95445,0
95446,0
95447,0
95453,2
95454,2
95455,2
95457,2
95458,2
95459,2
95460,2
95461,2
95463,3
95464,2
95465,3
95466,2
95467,0
95468,0
95469,0
95470,0
95471,0
95488,0
95489,0
95490,0
95491,0
95492,0
95493,0
95494,0
95495,0
95496,0
96150,0
96151,0
96152,3
96153,3
96154,3
96155,3
96156,3
96157,0
96158,0
96159,0
96160,0
96161,0
96162,0
96163,0
96164,0
96165,0
96166,0
96167,0
96168,0
96169,0
96170,0
96171,0
96172,0
96176,2
96178,2
96179,2
96180,2
96181,2
96182,2
96183,2
96185,3
96186,0
96187,0
96188,0
96189,0
96190,0
96191,0
96208,0
96209,0
96210,0
96211,0
96212,0
96213,0
96214,0
96215,0
96216,0
96870,2
96871,2
96872,2
96873,2
96874,2
96875,3
96876,3
96877,0
96878,0
96879,0
96880,0
96881,0
96882,0
96883,0
96884,0
96885,0
96886,0
96887,0
96888,0
96905,3
96906,0
96907,0
96908,0
96909,0
96910,0
96911,0
96927,0
96928,0
96929,0
96930,0
96931,0
96932,0
96933,0
96934,0
96935,0
96936,0
97589,3
97590,0
97591,0
97592,0
97593,2
97594,2
97596,3
97597,0
97598,0
97599,0
97600,0
97601,0
97602,0
97603,0
97604,0
97605,0
97606,0
97607,0
97608,0
97614,3
97615,3
97616,3
97617,3
97625,0
97626,0
97627,0
97628,0
97629,0
97630,0
97631,0
97647,0
97648,0
97649,0
97650,0
97651,0
97652,0
97653,0
97654,0
97655,0
97656,0
98309,3
98310,0
98311,0
98312,2
98313,2
98314,2
98315,3
98316,3
98317,0
98318,0
98319,0
98320,0
98321,0
98322,0
98323,0
98324,0
98325,0
98326,0
98327,0
98328,0
98334,3
98335,3
98336,2
98337,2
98338,1
98339,1
98340,1
98341,1
98342,1
98343,1
98345,2
98346,0
98347,0
98348,0
98349,0
98350,0
98351,0
98367,0
98368,0
98369,0
98370,0
98371,0
98372,0
98373,0
98374,0
98375,0
98376,0
98377,0
99028,3
99029,3
99030,3
99031,0
99032,0
99033,2
99034,2
99035,0
99036,0
99037,0
99038,0
99039,0
99040,0
99041,0
99042,0
99043,0
99044,0
99045,0
99046,0
99047,0
99048,0
99054,3
99055,3
99056,3
99057,1
99058,1
99059,1
99060,1
99061,1
99062,1
99063,1
99064,1
99065,1
99066,0
99067,0
99068,0
99069,0
99070,0
99071,0
99088,0
99089,0
99090,0
99091,0
99092,0
99093,0
99094,0
99095,0
99096,0
99097,0
99747,0
99748,3
99749,3
99750,0
99751,0
99752,0
99753,2
99754,2
99755,3
99756,3
99757,3
99758,3
99759,0
99760,0
99761,0
99762,0
99763,0
99764,0
99765,0
99766,0
99767,0
99768,0
99774,4
99775,3
99776,1
99777,1
99778,2
99779,1
99780,1
99781,2
99782,1
99783,2
99784,1
99785,1
99786,0
99787,0
99788,0
99789,0
99790,0
99809,0
99810,0
99811,0
99812,0
99813,0
99814,0
99815,0
99816,0
99817,0
100467,0
100468,3
100469,3
100470,3
100471,3
100472,3
100473,0
100474,3
100475,3
100476,3
100477,3
100478,3
100479,0
100480,0
100481,0
100482,0
100483,0
100484,0
100485,0
100486,0
100487,0
100488,0
100494,0
100495,1
100496,1
100497,1
100498,2
100499,1
100501,2
100502,1
100503,1
100504,1
100505,0
100506,1
100507,0
100508,0
100509,0
100510,0
100529,0
100530,0
100531,0
100532,0
100533,0
100534,0
100535,0
100536,0
100537,0
100538,0
100555,0
100556,0
101186,0
101187,0
101188,0
101189,0
101190,0
101191,0
101192,0
101193,0
101194,3
101195,3
101196,4
101197,3
101198,3
101199,0
101200,0
101201,0
101202,0
101203,0
101204,0
101205,0
101206,0
101207,0
101208,0
101209,0
101210,0
101211,0
101212,4
101213,4
101214,1
101215,1
101216,1
101217,1
101218,2
101219,2
101220,1
101221,1
101222,1
101223,1
101224,1
101225,1
101226,0
101227,2
101228,2
101229,0
101230,0
101231,0
101249,0
101250,0
101251,0
101252,0
101253,0
101254,0
101255,0
101256,0
101257,0
101258,0
101906,0
101907,0
101908,0
101909,0
101910,0
101911,0
101912,0
101913,0
101914,3
101915,3
101916,4
101917,3
101918,3
101919,0
101920,0
101921,0
101922,0
101923,0
101924,0
101925,0
101926,0
101927,0
101928,0
101929,0
101930,0
101936,1
101937,1
101938,1
101939,1
101940,1
101941,1
101942,1
101943,1
101944,3
101945,0
101946,0
101947,2
101948,2
101949,0
101950,0
101951,0
101952,0
101969,0
101970,0
101971,0
101972,0
101973,0
101974,0
101975,0
101976,0
101977,0
101978,0
102625,0
102626,0
102627,0
102628,0
102629,0
102630,0
102631,0
102632,0
102633,0
102634,3
102635,3
102636,3
102637,3
102638,3
102639,0
102640,0
102641,0
102642,0
102643,0
102644,0
102645,0
102646,0
102647,0
102648,0
102649,0
102650,0
102656,1
102657,1
102658,1
102659,2
102660,2
102661,1
102662,1
102663,1
102664,1
102665,1
102666,2
102667,2
102668,2
102669,0
102670,0
102671,0
102672,0
102673,0
102689,0
102690,0
102691,0
102692,0
102693,0
102694,0
102695,0
102696,0
102698,0
102699,0
103344,0
103345,0
103346,0
103347,0
103348,0
103349,0
103350,0
103351,0
103352,0
103353,0
103354,3
103355,3
103356,3
103357,3
103358,3
103359,0
103360,0
103361,0
103362,0
103363,0
103364,0
103365,0
103366,0
103367,0
103368,0
103369,0
103370,0
103376,0
103377,1
103378,1
103379,1
103380,2
103381,2
103382,1
103383,1
103384,1
103385,1
103386,1
103387,2
103388,2
103389,0
103390,0
103391,0
103392,0
