"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2020","33,454.00","33,454.00","33,454.00","33,454.00","","-0.01%"
"02/18/2020","33,458.50","33,458.50","33,458.50","33,458.50","","0.45%"
"02/17/2020","33,308.50","33,308.50","33,308.50","33,308.50","","-0.05%"
"02/14/2020","33,326.50","33,326.50","33,326.50","33,326.50","","-0.02%"
"02/13/2020","33,331.50","33,331.50","33,331.50","33,331.50","","-0.01%"
"02/12/2020","33,335.50","33,335.50","33,335.50","33,335.50","","-1.49%"
"02/11/2020","33,839.50","33,839.50","33,839.50","33,839.50","","0.00%"
"02/10/2020","33,839.50","33,839.50","33,839.50","33,839.50","0.01K","-0.79%"
"02/07/2020","34,107.50","34,107.50","34,107.50","34,107.50","","-0.01%"
"02/06/2020","34,111.50","34,111.50","34,111.50","34,111.50","","-0.01%"
"02/05/2020","34,115.50","34,115.50","34,115.50","34,115.50","","0.00%"
"02/04/2020","34,115.50","34,115.50","34,115.50","34,115.50","","-1.44%"
"02/03/2020","34,615.50","34,615.50","34,615.50","34,615.50","","-0.06%"
"01/31/2020","34,637.50","34,637.50","34,637.50","34,637.50","","6.13%"
"01/30/2020","32,637.50","32,637.50","32,637.50","32,637.50","","-0.01%"
"01/29/2020","32,641.50","32,641.50","32,641.50","32,641.50","","-0.01%"
"01/28/2020","32,645.50","32,645.50","32,645.50","32,645.50","","1.54%"
"01/27/2020","32,149.50","32,149.50","32,149.50","32,149.50","","-0.04%"
"01/24/2020","32,162.50","32,162.50","32,162.50","32,162.50","","-0.01%"
"01/23/2020","32,166.50","32,166.50","32,166.50","32,166.50","","-0.01%"
"01/22/2020","32,170.50","32,170.50","32,170.50","32,170.50","","0.77%"
"01/21/2020","31,924.50","31,924.50","31,924.50","31,924.50","","-0.01%"
"01/20/2020","31,928.50","31,928.50","31,928.50","31,928.50","","-0.04%"
"01/17/2020","31,941.50","31,941.50","31,941.50","31,941.50","","-1.55%"
"01/16/2020","32,445.50","32,445.50","32,445.50","32,445.50","","-0.01%"
"01/15/2020","32,449.50","32,449.50","32,449.50","32,449.50","","-0.02%"
"01/14/2020","32,455.00","32,455.00","32,455.00","32,455.00","","0.51%"
"01/13/2020","32,291.00","32,291.00","32,291.00","32,291.00","","-0.08%"
"01/10/2020","32,318.00","32,318.00","32,318.00","32,318.00","","-0.77%"
"01/09/2020","32,568.00","32,568.00","32,568.00","32,568.00","0.05K","3.97%"
"01/08/2020","31,323.00","31,323.00","31,323.00","31,323.00","","-0.81%"
"01/07/2020","31,578.50","31,578.50","31,578.50","31,578.50","","-0.80%"
"01/06/2020","31,834.00","31,834.00","31,834.00","31,834.00","","-0.05%"
"01/03/2020","31,850.00","31,850.00","31,850.00","31,850.00","","-1.56%"
"01/02/2020","32,355.00","32,355.00","32,355.00","32,355.00","","-0.03%"
"12/31/2019","32,366.00","32,366.00","32,366.00","32,366.00","","-0.02%"
"12/30/2019","32,372.00","32,372.00","32,372.00","32,372.00","","-0.05%"
"12/27/2019","32,388.00","32,388.00","32,388.00","32,388.00","","-0.05%"
"12/24/2019","32,404.00","32,404.00","32,404.00","32,404.00","","-0.02%"
"12/23/2019","32,409.50","32,409.50","32,409.50","32,409.50","","-0.05%"
"12/20/2019","32,425.50","32,425.50","32,425.50","32,425.50","","-0.02%"
"12/19/2019","32,431.00","32,431.00","32,431.00","32,431.00","","-0.02%"
"12/18/2019","32,436.00","32,436.00","32,436.00","32,436.00","","-0.02%"
"12/17/2019","32,441.00","32,441.00","32,441.00","32,441.00","","-5.40%"
"12/16/2019","34,292.00","34,292.00","34,292.00","34,292.00","0.00K","-0.05%"
"12/13/2019","34,308.00","34,308.00","34,308.00","34,308.00","","-0.02%"
"12/12/2019","34,314.00","34,314.00","34,314.00","34,314.00","0.05K","-0.02%"
"12/11/2019","34,319.50","34,319.50","34,319.50","34,319.50","0.00K","-0.02%"
"12/10/2019","34,325.00","34,325.00","34,325.00","34,325.00","","-0.02%"
"12/09/2019","34,330.50","34,330.50","34,330.50","34,330.50","","-0.05%"
"12/06/2019","34,347.00","34,347.00","34,347.00","34,347.00","","-0.01%"
"12/05/2019","34,352.00","34,352.00","34,352.00","34,352.00","","-2.84%"
"12/04/2019","35,357.50","35,357.50","35,357.50","35,357.50","0.00K","-0.02%"
"12/03/2019","35,363.00","35,363.00","35,363.00","35,363.00","","-0.01%"
"12/02/2019","35,368.00","35,368.00","35,368.00","35,368.00","","-0.05%"
