"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","project"
"1838","codmine02402","Kaitenda",2017-08-21,"Maniema",125,"More than 2h walk","No data","Cassitérite",NA,NA,"No data","Observed","FARDC","Occasionelle",NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines",NA,"iTSCI","Vert","No data",NA,"IPIS - IOM 2016-2018"
"1839","codmine02417","Kangonde",2019-11-14,"Maniema",55,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - Due Diligence"
"1840","codmine02444","Kitotolo",2017-04-11,"Tanganyika",250,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","Police des Mines","iTSCI","None","No data",NA,"IPIS - IOM 2016-2018"
"1841","codmine02456","Lunga",2016-12-06,"Tanganyika",120,"Car or Motorbike","No data","Or",NA,NA,"Observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Police des Mines",NA,"No traceability program","Jaune","No data",NA,"IPIS - IOM 2016-2018"
"1842","codmine02464","Manga kt",2017-08-15,"Haut-Lomami",150,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","Police des Mines","iTSCI","None","No data",NA,"IPIS - IOM 2016-2018"
"1843","codmine02465","Mangalala",2022-08-05,"Maniema",90,"More than 2h walk","More than 2h walk","Cassitérite","Wolframite",NA,"No data","None observed","Police Nationale Congolaise (sauf PMH)","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - USAID"
"1844","codmine02468","Matantali",2022-09-05,"Tanganyika",51,"Car or Motorbike","Car or Motorbike","Coltan",NA,NA,"No data","Observed","FARDC",NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","Observed","Creuser, Lavage, Traiter les déchets","IPIS - USAID"
"1845","codmine02469","Matoba",2010-01-01,"Maniema",20,"No data","No data","Coltan",NA,NA,"No data","No data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","Vert","No data",NA,"IPIS - 2010"
"1846","codmine02472","Meli",2019-12-23,"Maniema",96,"Less than 2h walk","Less than 2h walk","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","Observed","Creuser, Lavage","IPIS - Due Diligence"
"1847","codmine02484","Mwanzalulu",2017-08-18,"Haut-Lomami",77,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","Police des Mines","iTSCI","Vert","No data",NA,"IPIS - IOM 2016-2018"
"1848","codmine02493","Pas Mal",2019-12-18,"Maniema",185,"More than 2h walk","More than 2h walk","Cassitérite",NA,NA,"No data","Observed","FARDC","Aléatoire",NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","Vert","None observed",NA,"IPIS - Due Diligence"
"1849","codmine02495","Pohe",2016-12-05,"Sud-Kivu",100,"More than 2h walk","No data","Coltan",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - IOM 2016-2018"
"1850","codmine02497","Rochedur",2017-04-15,"Tanganyika",103,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","Police des Mines","iTSCI","Vert","No data",NA,"IPIS - IOM 2016-2018"
"1851","codmine02498","Sabbat",2016-11-30,"Tanganyika",96,"Car or Motorbike","No data","Coltan",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines","Police des Mines",NA,"No traceability program","Vert","No data",NA,"IPIS - IOM 2016-2018"
"1852","codmine02502","Taillings",2022-08-08,"Maniema",250,"Less than 2h walk","Less than 2h walk","Cassitérite","Wolframite",NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"iTSCI","None","Observed","Creuser, Lavage, Traiter les déchets","IPIS - USAID"
"1853","codmine02510","Tupata",2017-04-19,"Tanganyika",19,"Car or Motorbike","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines","Police des Mines","iTSCI","Vert","No data",NA,"IPIS - IOM 2016-2018"
"1854","codmine02515","Amérique",2023-03-06,"Tshopo",5,"Car or Motorbike","Car or Motorbike","Or","Diamant",NA,"None observed","None observed","FARDC","Quotidien",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - USAID"
"1855","codmine02516","Double Sim",2023-02-28,"Tshopo",0,"No data","No data","Or",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - USAID"
"1856","codmine02517","Bakoko 1",2015-08-28,"Maniema",50,"No data","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
